,Name,Author,Link,Category,The Specific Category,State,Description
48,慕容复纵横斗罗,慵懒的小妖,//book.qidian.com/info/1033407123,轻小说,衍生同人,连载,玄玉手？比般若金刚掌如何？鬼影迷踪？比凌波微步如何？控鹤擒龙？比龙抓手又如何？玄天功？比易筋经差得远了！乱披风垂法？这陀螺一样转圈，我这三成水平的打狗棒都足够碾压了！慕容复：蜀中唐门，不过如此！那个，拉个群，吐吐槽、吹吹牛皮118367029上架前随便进~
49,天眼中场,寂静黎明,//book.qidian.com/info/1034177074,体育,足球运动,连载,有人说哈维拥有足球世界的最强大脑。哈维摇头：“最幸运的是当易登上舞台的时候，我已经离开。”一个真正的天才，他将重新定义绿茵中场。丁丁：“除非易现在挂靴，否则我没有资格和他竞争世界第一中场。”梅西：“易是现役最强的中场球员，毫无疑问，球场上任何空间都逃不过他的眼睛。”C罗：“和易一起踢球，你需要做的只是往球门方向不停奔跑。”齐达内：“易是我见过最优秀的中场大师，即便在我的时代。”巴托梅乌：“必须承认，错过易是我们最大的失误，否则我们本该开创比哈维更伟大的中场时代。”易哲：让我来告诉你们什么是最强中场——开天眼，我为王！视野之内，皆为领域！射程之内，使命必达！
50,这个演员有点高冷,黑色头发的天使,//book.qidian.com/info/1034094793,都市,娱乐明星,连载,这个演员有点高冷，直到遇见了可以融化他的小太阳。
51,人在秦时，风后奇门,曾以此身破万军,//book.qidian.com/info/1033997258,玄幻,东方玄幻,连载,天下为棋局，世人如棋子破局也好，入局也好，结果都是出局我叫白弈，我下山了
52,全职法师之我有一个商店,单机小能手,//book.qidian.com/info/1033244369,轻小说,衍生同人,连载,全职法师世界，一人一剑一商店，当魔法力量完美融汇剑中，杀妖虐人只需一剑。
53,我来自历史断层之前,繁星已逝,//book.qidian.com/info/1033118143,轻小说,原生幻想,连载,闭上眼睛，再睁开，秋夜居然来到了一百年后。没有系统，没有背景，孑然一身。可是他发现，即便面对着这光怪陆离的未来世界，他依然有着最强大的武器——脑海中，关于历史的记忆。
54,阴影誓约,青松常青,//book.qidian.com/info/1033084104,游戏,游戏异界,连载,动荡之年。随着伫立亘古的命运之墙倒塌。圣者与恶魔同行于世，位面同悲。当混乱浪潮席卷至多元宇宙的每一个角落，生灵又该何去何从。资深游戏玩家魂穿至远离众神光辉映照之地，他的首要目标便是在即将到来的上古邪物苏醒浪潮中活下去，然后，逃离这个位面！而他能依靠的便只有铭刻在灵魂当中属于玩家的知识与经验，还有那道深蓝色的帷幕……作品标签：伪DND，游戏异界，刺客，猎魔人，系统面板，琥珀流。
55,全民领主：我的兵种变异了,潜水的锅巴,//book.qidian.com/info/1031919842,游戏,游戏异界,连载,万界崩毁，重归一界。全民降临原始大陆，成为领主，为生存而战。降临之初，每个人都会获得一个初始领地，招募兵种，强大领地。“完了，我随机到野兽系的领地，只能招募狼崽！”“我也差不多，亡灵系的，初始兵种小骷髅！”“机械工厂是什么鬼？只给个机关鸟让人怎么活？”“哈哈，你们算好的了，听说植物系的初始兵种最惨，有人随机到小树苗，一点战斗力都没有！”林佑看着这些不断飘过的消息，又看了看自己领地信息上【植物系】三个大字，哭了。这还怎么玩？可渐渐的，他就发现......自己招募出来的小树苗，它会变异！
56,灵显真君,一语破春风,//book.qidian.com/info/1031313123,仙侠,古典仙侠,连载,一觉醒来，对陈鸢来说可不是好事。孤山茅屋，油灯阴沉，夜里会挪动的水缸。阴风荒山，还能看到吃人的鬼魅、惑人的邪狐、荒芜寺庙佛像自琢脏腑，也有山云渺渺水榭如画，仙人自在。这一年，陈鸢拉着牛车演起了木雕戏，演那关云长千里伏魔、钟馗吃鬼、无常索命、乌江水神项霸王，还有那大闹天宫的天生石猴、灌江口二郎真君救母......给这世道的人，讲出一个个不一样的故事。道途漫漫，立庙坐食香火，凡拜我者，皆有求必应。
57,联盟：开局唢呐，送走了周姐呆妹,幽影夜神2,//book.qidian.com/info/1029667430,游戏,电子竞技,连载,林峰穿越s7，成为一个小小小小小主播。谁料，霉运来临：意外被大主播周姐连麦互动，还被要求表演才艺。平平无奇的林峰本想拒绝，谁料……黑粉选择系统降临。【选择1：拒绝周姐，奖励黑粉值1000】【选择2：掏出唢呐，为其演奏一首《囍》，奖励LOL极限手速】于是，周姐呆妹及闻讯而来的无数网友纷纷自闭了。………………本着黑粉越多，奖励越多的原则，林峰玩出了各种骚操作：不当人爆虐韩服各大选手；比赛中亮表情跳舞疯狂互动；怒喷各种流量小鲜肉呕像等等……林风试图将对方粉丝全部变成自己黑粉。只是不久后，站在S7冠军颁奖台上的林峰，看着系统中-9999999的黑粉值，陷入了沉思。……说好的黑粉呢？！…………《甜文！》《多日常，少比赛》《爽文，欢乐逗比风》《本书核心：让所有看得爽和开心》《单女主，猜猜女主是哪位哑巴？Rita？周姐？恩静？呆妹？沫子？》PS：不要试图教作者写书，不听不听我不听！（打赏黄金萌的除外~）
