,Name,Author,Link,Category,The Specific Category,State,Description
68,华娱1997,胖一点,//book.qidian.com/info/1027700830,都市,娱乐明星,连载,1997年初，获得了后世资深娱乐小编记忆的曹轩，参演央视四大名著最后一部的《水浒传》。史上最帅西门大官人出炉……
69,神话版三国,坟土荒草,//book.qidian.com/info/3223937,历史,秦汉三国,连载,陈曦看着将一块数百斤巨石撇出去的士卒，无语望苍天，这真的是东汉末年？吕布单枪匹马凿穿万人部队，这怎么看都不科学。赵子龙真心龙魂附体了，一剑断山，这真的是人？典韦单人护着曹操杀出敌营，顺手宰了对面数千步骑，这战斗力爆表了吧！这是不是哪里有些不对啊，陈曦顺手摸了一把鹅毛扇挥了一下，狂风大作，叹了一口气，“这是神话吧，我自己都不正常了。”ps：其实这是一篇正经的种田文……QQ群：95010223（满了）全订验证群：949176942酱油群：397441818（快满了）二群：418928396（快满了）三群：371034966五群：966666635
70,重生之似水流年,苍山月,//book.qidian.com/info/1027551057,都市,都市生活,连载,一个伤痕累累的中年灵魂倒退回时光里，拥抱98年的斑驳阳光。蓦然发现，原来那时少年正好，岁月飘香。原来犯错才叫成长，青春可以如此飞扬...
71,大人，得加钱,傲骨铁心,//book.qidian.com/info/1033179566,历史,清史民国,连载,贾大人本名贾东阁，又名贾佳世凯，人生格言是一切为了大清！但要贾大人办事，必须得加钱！不加钱的话，就算是皇上晚饭也没咸菜就粥喝！这是一个大清“忠臣”的故事，因为贾大人真的是事事为大清。.......已有完本精品作品《大流寇》、《司礼监》、《汉儿不为奴》、《大明狼骑》、《恶奴》。
72,警察陆令,奉义天涯,//book.qidian.com/info/1031633183,都市,都市生活,连载,人格心理学硕士毕业当警察，是一种什么体验？人，可以貌相。对于真正的专家来说，普通人看几眼就能看穿，当然，看穿城府深沉的人难度要大很多。这是一个想研究心理学的人，莫名其妙地成为了破案专家的故事～～相比《警探长》，这本书更…爽一点…
73,基因大时代,猪三不,//book.qidian.com/info/1023212048,科幻,进化变异,连载,顺风耳、千里眼，均在科学下实现，那么七十二变呢？有人说，科学的尽头是神话。那么基因进化的尽头，是什么？答案，尽在本书中。“老唐，你开启的速度类基因基点，是哪个方向的？”这个问题让唐厅一脸的惆怅。“是......手速......””许退一脸懵。手速.......老师不是说哪方面用的越多，越容易开启基因基点吗？“老唐你到底干啥了？”“照这么说，我这是吃了十八年饭，才开启的胃部基因基点吗？”既将走上饭桶之路的程默仰天长叹。许退摸着自个的脑袋，“难道我这是用了十八年脑？”.......新苗刚出，需要兄弟姐妹们的呵护，360度卖萌打滚求收藏推荐呐。兄弟姐妹们也可以看猪三的老书《造化之王》《掌御星辰》都是精品好书，老肥了。
74,公子别秀,荣小荣,//book.qidian.com/info/1031101410,玄幻,异世大陆,连载,林秀一觉醒来，世界已经截然不同。有人力拔山兮，扛峰举鼎；有人举目千里，一览无遗；有人御风而行，逍遥天地；有人隐形匿迹，来去无踪……秀就完了。
75,开局就较真，对面被我吓到报警！,观鱼的星河,//book.qidian.com/info/1033678016,都市,都市生活,连载,本书又名：《我就是往死里较真》《只要我没有道德，谁特么也不能绑架我》《打雷的时候离他远点》《论优先占领道德低处的重要性》重生一世。看到没素质的人和事，秦牧不打算再惯着。“你都快三十了，和一个孩子计较什么？”“大过年的，你就不能心胸宽广一点吗？”“你这么有钱都用不完，为什么不捐给贫困山区?”“你是姐姐，就应该让着弟弟。”“一个巴掌拍不响，他打你肯定是你自己也有问题。”“我这么做还不都是为了你吗？你以为我乐意？”当碰到这些道德绑架、强行换位的现象后。本来睁只眼闭只眼的秦牧，决定管上一管。没有人是你爹，原谅你是警察的事，和我有什么关系？
76,我将埋葬众神,见异思剑,//book.qidian.com/info/1030882891,仙侠,神话修真,连载,暴雨之夜，道门圣女追杀而来，宿命之战的终点，旧神于未知中降临，古老的王朝向他们敞开…………（新书读者群:961095758（已满）二群:548904977（已满）三群827825166（未满）欢迎大家加群讨论）
77,我真没想重生啊,柳岸花又明,//book.qidian.com/info/1015648531,都市,都市生活,完本,万万没想到，社会精英、钻石单身汉的陈汉升居然重生了，一觉醒来变成了高三毕业生。十字路口的陈汉升也在犹豫，宝藏女孩沈幼楚和白月光萧容鱼，应该选择谁？都市重生小说的天花板，年轻人绝对不可错失的恋爱宝典！
78,精灵世界的底层训练家,说唱鸽,//book.qidian.com/info/1029939166,轻小说,衍生同人,连载,【更新日万，月40万+！】感谢联盟归还精灵世界安静祥和，因为我这个“底层”的训练家，跳反了。——源自“底层”训练家、培育家夏彦的《自述》
79,某霍格沃茨的魔文教授,韩游思,//book.qidian.com/info/1027307054,轻小说,衍生同人,完本,从霍格沃茨毕业三年后，菲利克斯再次走进这座魔法学校，只不过这一次，他是以教授的身份！麻瓜的智慧与魔法结合，会碰撞出什么样的火花？PS1.教授古代魔文；PS2.时间线，三小只二年级；
80,顶级气运，悄悄修炼千年,任我笑,//book.qidian.com/info/1026562582,仙侠,神话修真,完本,转世来到修仙世界，韩绝发现自己带着游戏属性，竟然可以摇骰子刷新灵根资质与先天气运。于是乎，他花了十一年摇先天气运。【绝世无双：仙姿，魅力顶级】【天命剑痴：剑道资质顶级，剑道悟性顶级】【身法绝尘：身法资质顶级】【仙帝后裔：获得一部绝世修仙功法、一千块上品灵石】韩绝为了长生，决定悄悄修炼，不出风头。千年后，修真界一代换一代。当仙界清理凡间时，韩绝不得不出手。他这才发现，好像仙神也不过如此！……读者群：668385276
81,这个明星很想退休,幼儿园一把手,//book.qidian.com/info/1029510590,都市,娱乐明星,连载,众人：“不！你不想！”
82,英雄无敌之隐藏建筑大师,凶猛公仓鼠,//book.qidian.com/info/1031812496,游戏,虚拟网游,连载,无数玩家的鲜血铺成七鸽前进的道路，被火烧焦的法师袍随风尘飘扬，神灯的碎片被踩得喳喳作响，娜迦碎刃，石像成灰。泰坦尸骨堆积成山。而我七鸽，会踏着你们的尸骨，摘下布拉卡达的亚沙之泪，成为妖精族的新王！
83,我有一座气运祭坛,叮叮小石头,//book.qidian.com/info/1029911179,武侠,武侠幻想,连载,平安县衙役陈渊穿越而来，脑海中藏着一座气运祭坛。只要献祭气运，就能获得天机指引，神通、功法、邪术、天材地宝...这个世界有仙，有佛，有妖，还有庙堂之高，江湖之远。有三千剑仙御剑长空，有佛门罗汉一指擎天，有江湖……这是最坏的时代，也是最好的时代。我叫陈渊，来自深渊！——————杀伐果断风，已有两百万字老书《从山匪开始的武侠》欢迎阅读
84,我一个人砍翻乱世,新丰,//book.qidian.com/info/1033822086,玄幻,高武世界,连载,一个人砍翻乱世的人生之路。丧尸：吼。林凡：“大家都是邻居，为什么要如此暴躁呢。”林凡：“我还要去买菜呢。”林凡看着变成丧尸的小青：“小青，我买了几瓶水，已经扫码了哦。”林凡：“老板，我想结一下工资。”阳光小区，林凡生活的小区，无数逃难者，蜂拥而至，寻求庇护。我们要跟林凡学习，遵守法律，打工赚钱，争取买房买车，在丧尸横行的城市里，做一位优秀的市民。
85,每天都离现形更近一步,陈词懒调,//book.qidian.com/info/1025461668,科幻,进化变异,连载,风羿创业遇挫陷入困境时，姑祖母的私人管家带着一份巨额遗产找到他。风羿：“同辈的那么多，她老人家为什么留给我？”管家：“你长得最讨喜。”风羿摸了下自己的锥子脸：“她老人家眼光真好！”然而，继承遗产之后，整个人都不对劲了。————强吗？帅吗？狂吗？牛X吗？智商换的（bushi）。
86,从红月开始,黑山老鬼,//book.qidian.com/info/1024868626,科幻,进化变异,完本,红月亮出现在天上的那一刻开始，全世界的人都成了疯子。除了我！
87,曾经，我想做个好人,常世,//book.qidian.com/info/1033806888,轻小说,原生幻想,连载,穿越到一个有着各种奇怪能力，灾难生物，厄运宝具的危险世界。方泽只想觉醒个超凡能力，当个普通的探员，吃吃皇粮，好好的活下去。但他却发现自己从刚穿越，就被卷入到了一场巨大的阴谋当中……奇怪的能力、宝具有：种在身上就可以永葆青春的蘑菇；每分一个分身就会智商下降、实力提升的小丑；出世就引得地区下起黑雨，生物疯狂的破旧神像；捡起就会被附身的古钱币；可以代替主人学习、锻炼，而且效果翻倍的替身地灵等等….————————已有三本万订、精品作品，全都几百万字正常完本，更新期间无断更。人品保证，放心跟读。
88,偷偷养只小金乌,育,//book.qidian.com/info/1033737401,玄幻,异世大陆,连载,关于穿越御妖世界这件事，杜愚是懵的。关于契约上古金乌这件事，杜愚也是懵的。但是面对崭新的妖宠人生，到底是选择苟起来还是装起来，杜愚却有着自己独到的见解。偷偷苟到天黑，放肆装到天明？日落金乌起！我，杜愚，半夜里的焚阳！...轻松搞笑，欢迎入坑。已有完本作品《九星毒奶》《九星之主》，欢迎各位阅读。...
