,Name,Author,Link,Category,The Specific Category,State,Collect,Description
41,轮回乐园,那一只蚊子,//book.qidian.com/info/1009817672,轻小说,衍生同人,连载,1495749,苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园……
42,凡人修仙之仙界篇,忘语,//book.qidian.com/info/1010734492,仙侠,神话修真,完本,1447412,凡人修仙，风云再起时空穿梭，轮回逆转金仙太乙，大罗道祖三千大道，法则至尊《凡人修仙传》仙界篇，一个韩立叱咤仙界的故事，一个凡人小子修仙的不灭传说。特说明下，没有看过前传的书友，并不
43,这个人仙太过正经,言归正传,//book.qidian.com/info/1021635590,仙侠,修真文明,完本,1424015,半神之躯，比肩凡人！正经人仙，山海薅神！（正经版简介）天高九万里，地有无尽国。人道多不易，山海尽荒泽。【普一群：1071059242，普二群：1041155628，全订V群已开，在
44,大魏读书人,七月未时,//book.qidian.com/info/1029160231,仙侠,古典仙侠,完本,1405442,武昌元年。大魏王朝，历经七次北伐而败，国库空虚，民不聊生，又逢先帝驾崩。而后，女帝登基，日月当空。此时，天下妖魔横出，为祸人间。大魏藩王蠢蠢欲动，朝堂涌动不安，异族番邦虎视眈眈。也
45,全职高手,蝴蝶蓝,//book.qidian.com/info/1887208,游戏,虚拟网游,完本,1400786,网游荣耀中被誉为教科书级别的顶尖高手，因为种种原因遭到俱乐部的驱逐，离开职业圈的他寄身于一家网吧成了一个小小的网管，但是，拥有十年游戏经验的他，在荣耀新开的第十区重新投入了游戏，带
46,遮天,辰东,//book.qidian.com/info/1735921,仙侠,修真文明,完本,1400503,冰冷与黑暗并存的宇宙深处，九具庞大的龙尸拉着一口青铜古棺，亘古长存。这是太空探测器在枯寂的宇宙中捕捉到的一幅极其震撼的画面。九龙拉棺，究竟是回到了上古，还是来到了星空的彼岸？一个浩
47,星辰变,我吃西红柿,//book.qidian.com/info/118447,仙侠,幻想修仙,完本,1357160,一名孩童，天生无法修炼内功。为了得到父亲的重视关注，他毅然选择了修炼痛苦艰难的外功。春去秋来，时光如梭，这个孩童长大了……变成了一名青年，真正改变他的命运，是一颗流星化作的神秘晶石
48,将夜,猫腻,//book.qidian.com/info/2083259,玄幻,东方玄幻,完本,1318278,与天斗，其乐无穷。……
49,雪鹰领主,我吃西红柿,//book.qidian.com/info/3513193,玄幻,异世大陆,完本,1315568,在夏族的安阳行省，有一个很小很不起眼的领地，叫——雪鹰领！故事，就从这里开始！**继《莽荒纪》《吞噬星空》《九鼎记》《盘龙》《星辰变》《寸芒》《星峰传说》后，番茄的第八本小说！
50,盘龙,我吃西红柿,//book.qidian.com/info/1017141,奇幻,剑与魔法,完本,1309449,楼房大小的血睛鬃毛狮，力大无穷的紫睛金毛猿，毁天灭地的九头蛇皇，携带着毁灭雷电的恐怖雷龙……这里无奇不有，这是一个广博的魔幻世界。强者可以站在黑色巨龙的头顶遨游天际，恐怖的魔法可以
